UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
210401, 1,"R",133,"R",0,"R",133,"R",91,"R",0,"R",91,"R",154,"R",0,"R",154,"R",109,"R",0,"R",109,"R",258,"R",0,"R",258,"R",176,"R",0,"R",176,"R",545,"R",0,"R",545,"R",376,"R",0,"R",376
210401, 2,"R",133,"Z",0,"R",133,"R",91,"R",0,"R",91,"R",154,"Z",0,"R",154,"R",109,"R",0,"R",109,"R",258,"Z",0,"R",258,"R",176,"R",0,"R",176,"R",545,"R",0,"R",545,"R",376,"R",0,"R",376
210429, 1,"R",360,"R",0,"R",360,"R",150,"R",0,"R",150,"R",180,"R",0,"R",180,"R",65,"R",0,"R",65,"R",286,"R",0,"R",286,"R",124,"R",0,"R",124,"R",826,"R",0,"R",826,"R",339,"R",0,"R",339
210429, 2,"R",360,"Z",0,"R",360,"R",150,"R",0,"R",150,"R",180,"Z",0,"R",180,"R",65,"R",0,"R",65,"R",286,"Z",0,"R",286,"R",124,"R",0,"R",124,"R",826,"R",0,"R",826,"R",339,"R",0,"R",339
210474, 4,"R",58,"Z",0,"R",58,"A",,"A",,"R",20,"R",2,"Z",0,"R",2,"A",,"A",,"R",2,"R",14,"Z",0,"R",14,"A",,"A",,"R",10,"R",74,"R",0,"R",74,"A",,"A",,"R",32
210492, 1,"R",27,"R",0,"R",27,"R",14,"R",0,"R",14,"R",22,"R",0,"R",22,"R",13,"R",0,"R",13,"R",30,"R",0,"R",30,"R",17,"R",2,"R",19,"R",79,"R",0,"R",79,"R",44,"R",2,"R",46
210492, 2,"R",27,"Z",0,"R",27,"R",14,"R",0,"R",14,"R",16,"Z",0,"R",16,"R",12,"R",0,"R",12,"R",25,"Z",0,"R",25,"R",16,"R",2,"R",18,"R",68,"R",0,"R",68,"R",42,"R",2,"R",44
210492, 3,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",6,"Z",0,"R",6,"R",1,"R",0,"R",1,"R",5,"Z",0,"R",5,"R",1,"R",0,"R",1,"R",11,"R",0,"R",11,"R",2,"R",0,"R",2
210571, 1,"R",326,"R",0,"R",326,"R",142,"R",0,"R",142,"R",237,"R",0,"R",237,"R",172,"R",0,"R",172,"R",92,"R",2,"R",90,"R",61,"R",0,"R",61,"R",655,"R",2,"R",653,"R",375,"R",0,"R",375
210571, 2,"R",326,"R",0,"R",326,"R",142,"R",0,"R",142,"R",237,"R",0,"R",237,"R",172,"R",0,"R",172,"R",92,"R",2,"R",90,"R",61,"R",0,"R",61,"R",655,"R",2,"R",653,"R",375,"R",0,"R",375
